Element,Symbol,Group,Acidity,State,Atomic Number,Atomic Weight,Valency,Octet,Density,Melting_Point,Boiling_Point,Electron_Configuration,Color,Electrical_Type

Hydrogen,H,s,acid,gas,1,1.008,1,1,0.0899,14.01,20.28,1s1,Colorless,
Helium,He,s,neutral,gas,2,4.0026,0,2,0.1785,,4.21999999999997,[Xe]4f56s2,Colorless,
Lithium,Li,s,base,solid,3,6.94,1,2,535,453.69,1615.15,[He]2s2,Silver,Conductor
Beryllium,Be,s,base,solid,4,9.0122,2,2,1848,1560.15,2743.15,[Xe]4f75d16s2,SlateGray,Conductor
Boron,B,p,neutral,solid,5,10.81,3,6,2460,2348.15,4273.15,[He]2s22p3,Black,Insulator
Carbon,C,p,neutral,solid,6,12.011,4,8,2260,3823.15,4300.15,[Xe]4f116s2,Black,Conductor
Nitrogen,N,p,acid,gas,7,14.007,3,5,1.251,63.05,77.36,[He]2s22p6,Colorless,
Oxygen,O,p,acid,gas,8,15.999,2,6,1.429,54.85,90.25,[Xe]4f146s2,Colorless,
Fluorine,F,p,acid,gas,9,18.998,1,7,1.696,53.55,85.03,[Ne]3s23p1,Colorless,
Neon,Ne,p,neutral,gas,10,20.18,0,8,0.9,24.56,27.07,[Xe]4f145d36s2,Colorless,
Sodium,Na,s,base,solid,11,22.99,1,2,968,370.87,1156.15,[Ne]3s23p4,Silver,Conductor
Magnesium,Mg,s,base,solid,12,24.305,2,2,1738,923.15,1363.15,[Xe]4f145d66s2,Silver,Conductor
Aluminum,Al,p,neutral,solid,13,26.982,3,6,2700,933.47,2792.15,[Ar]4s1,Silver,Conductor
Silicon,Si,p,neutral,solid,14,28.085,4,8,2330,1687.15,3173.15,[Xe]4f145d106s1,Gray,Semiconductor
Phosphorus,P,p,acid,solid,15,30.974,3,5,1823,317.35,553.65,[Ar]3d24s2,Colorless,Conductor
Sulfur,S,p,acid,solid,16,32.06,2,6,1960,388.36,717.87,[Xe]4f145d106s26p2,Yellow,Insulator
Chlorine,Cl,p,acid,gas,17,35.45,1,7,3.214,171.65,239.11,[Ar]3d54s2,Yellow,Insulator
Argon,Ar,p,neutral,gas,18,39.948,0,8,1.784,83.85,87.35,[Xe]4f145d106s26p5,Colorless,
Potassium,K,s,base,solid,19,39.098,1,2,856,336.53,1032.15,[Ar]3d84s2,Silver,Conductor
Calcium,Ca,s,base,solid,20,40.078,2,2,1550,1115.15,1757.15,[Rn]7s2,Silver,Conductor
Scandium,Sc,d,neutral,solid,21,44.956,3,2,2985,1814.15,3103.15,[Ar]3d104s24p1,Silver,Conductor
Titanium,Ti,d,neutral,solid,22,47.867,4,2,4507,1941.15,3560.15,[Rn]5f26d17s2,Silver,Conductor
Vanadium,V,d,neutral,solid,23,50.942,5,2,6110,2183.15,3680.15,[Ar]3d104s24p4,Silver,Conductor
Chromium,Cr,d,neutral,solid,24,51.996,6,2,7140,2180.15,2944.15,[Rn]5f67s2,Silver,Conductor
Manganese,Mn,d,neutral,solid,25,54.938,7,2,7470,1519.15,2334.15,[Kr]5s1,Silver,Conductor
Iron,Fe,d,neutral,solid,26,55.845,2,2,7874,1811.15,3134.15,[Rn]5f97s2,Gray,Conductor
Cobalt,Co,d,neutral,solid,27,58.933,3,2,8900,1768.15,3200.15,[Kr]4d25s2,Gray,Conductor
Nickel,Ni,d,neutral,solid,28,58.933,2,2,8908,1728.15,3186.15,[Rn]5f127s2,Gray,Conductor
Copper,Cu,d,neutral,solid,29,63.546,1,2,8920,1357.77,3200.15,[Kr]4d55s2,Copper,Conductor
Zinc,Zn,d,neutral,solid,30,65.38,2,2,7140,692.68,1180.15,[Rn]5f147s27p1,SlateGray,Conductor
